,,,,," 19,388,231.64 ",
Invoice Date,Supplier Name,Supplier Country,Taxable basis,Currency,Tax to pay,Runing Total
20190630,CEBI LUXEMBOURG SA,Luxembourg,1367.46,EUR,478.61,64363.96
20190630,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,64683.03
20190630,CEBI LUXEMBOURG SA,Luxembourg,3368.24,EUR,1178.88,65861.91
20190630,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,66500.06
20190630,CEBI LUXEMBOURG SA,Luxembourg,455.82,EUR,159.54,66659.6
20190630,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,66978.67
20190630,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,67172
20190630,CEBI LUXEMBOURG SA,Luxembourg,1104.76,EUR,386.67,67558.67
20190630,CEBI LUXEMBOURG SA,Luxembourg,335.12,EUR,117.29,67675.96
20190630,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,67995.03
20190630,CEBI LUXEMBOURG SA,Luxembourg,1367.46,EUR,478.61,68473.64
20190630,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,68717.17
20190630,CEBI LUXEMBOURG SA,Luxembourg,911.64,EUR,319.07,69036.24
20190630,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,69229.57
20190630,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,69867.72
20190731,CEBI LUXEMBOURG SA,Luxembourg,932.94,EUR,326.53,70194.25
20190731,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,70387.58
20190731,CEBI LUXEMBOURG SA,Luxembourg,264.12,EUR,92.44,70480.02
20190731,CEBI LUXEMBOURG SA,Luxembourg,357.84,EUR,125.24,70605.26
20190731,CEBI LUXEMBOURG SA,Luxembourg,695.8,EUR,243.53,70848.79
20190731,CEBI LUXEMBOURG SA,Luxembourg,1052.79,EUR,368.48,71217.27
20190731,CEBI LUXEMBOURG SA,Luxembourg,842.06,EUR,294.72,71511.99
20190731,CEBI LUXEMBOURG SA,Luxembourg,1657.14,EUR,580,72091.99
20190731,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,72865.32
20190731,CEBI LUXEMBOURG SA,Luxembourg,410.38,EUR,143.63,73008.95
20190731,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,73782.28
20190731,CEBI LUXEMBOURG SA,Luxembourg,301.04,EUR,105.36,73887.64
20190731,CEBI LUXEMBOURG SA,Luxembourg,296.78,EUR,103.87,73991.51
20190731,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,74764.84
20190731,CEBI LUXEMBOURG SA,Luxembourg,1391.6,EUR,487.06,75251.9
20190731,CEBI LUXEMBOURG SA,Luxembourg,1039.44,EUR,363.8,75615.7
20190731,CEBI LUXEMBOURG SA,Luxembourg,1657.14,EUR,580,76195.7
20190731,CEBI LUXEMBOURG SA,Luxembourg,2209.52,EUR,773.33,76969.03
20190731,CEBI LUXEMBOURG SA,Luxembourg,518.73,EUR,181.56,77150.59
20190731,CEBI LUXEMBOURG SA,Luxembourg,519.72,EUR,181.9,77332.49
20190731,CEBI LUXEMBOURG SA,Luxembourg,594.98,EUR,208.24,77540.73
20190731,CEBI LUXEMBOURG SA,Luxembourg,3895.49,EUR,1363.42,78904.15
20190731,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,79542.3
20190731,CEBI LUXEMBOURG SA,Luxembourg,178.92,EUR,62.62,79604.92
20190731,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,79798.25
20190731,CEBI LUXEMBOURG SA,Luxembourg,259.86,EUR,90.95,79889.2
20190731,CEBI LUXEMBOURG SA,Luxembourg,2761.9,EUR,966.66,80855.86
20190731,CEBI LUXEMBOURG SA,Luxembourg,552.38,EUR,193.33,81049.19
20190731,CEBI LUXEMBOURG SA,Luxembourg,779.58,EUR,272.85,81322.04
20190731,CEBI LUXEMBOURG SA,Luxembourg,1823.28,EUR,638.15,81960.19
