Account,Doc. Date,DocumentNo,Type,PK,Amount in LC,Tx,LCurr,Company,Localité
8127200000,2019-02-16,1118000882,KR,50,"-82,36",Y3,USD,Groupe Soludec,lux
8127200000,2019-07-16,1118001788,KR,40,"-217,26",Y3,USD,Groupe Soludec,lux
8122100002,2019-09-04,1118002255,KR,40,"-367,78",V0,USD,A.B.S.C. SA,Luxembourg
8127120000,2018-12-31,1118000266,KR,40,"-381,98",Y1,USD,LUX TP SA,Luxembourg
8127120000,2019-06-28,1118001978,KR,40,"-572,26",Y1,USD,LUX TP SA,Luxembourg
8127200013,2019-09-11,1118002786,KR,40,"-292,52",Y3,USD,Groupe Stugalux,Luxembourg
8123200000,2018-12-31,1118000074,KR,40,"-399,02",Y1,USD,Baatz Constructions Exploitation SARL,LU
1930300000,2019-04-01,1118000683,KR,40,"-362,1",Y1,USD,SES,Luxembourg
1930300000,2019-07-01,1118001314,KR,40,"-377,72",Y1,USD,SES,Luxembourg
1930300000,2019-10-01,1118002597,KR,40,"-173,24",Y1,USD,SES,Luxembourg
8127200000,2019-03-27,1118000713,KR,40,"-470,82",Y4,USD,Groupe Soludec,lux
8127200000,2019-03-27,1118001446,KR,40,"-575,1",Y4,USD,Groupe Soludec,lux
3130500000,2019-07-11,1118001569,KR,40,"-56,66",ZF,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
8127200000,2019-03-27,1118002285,KR,50,"-3459,12",Y4,USD,Groupe Soludec,lux
8127200000,2019-04-18,1118002288,KR,40,"-5637,56",Y4,USD,Groupe Soludec,lux
3130500000,2019-04-18,1118002288,KR,40,"566,15",Y4,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
8127200000,2019-07-11,1118002291,KR,50,"-220,71",Y4,USD,Groupe Soludec,lux
3130500000,2019-07-11,1118002291,KR,50,"-578,75",ZF,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
8127200000,2019-07-11,1118002293,KR,50,"-664,89",Y4,USD,Groupe Soludec,lux
3130500000,2019-07-11,1118002294,KR,40,"0,01",ZF,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
8127200000,2019-03-27,1118002295,KR,40,"-7,64",ZF,USD,Groupe Soludec,lux
3130500000,2019-07-11,1118002296,KR,40,"-229,7",ZF,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
3130500000,2019-10-23,1118002969,KR,40,"-1039,44",Y4,USD,Pictet (partie luxembourgeoise d'un groupe étranger),Luxembourg
3120500000,2019-11-25,1118003046,KR,40,"-404,7",Y4,USD,Groupe Arthur Welter Transports,Luxembourg
8127200000,2019-11-28,1118003060,KR,40,"-860,52",Y4,USD,Groupe Soludec,lux
3120500000,2019-11-28,1118003060,KR,40,"154,78",Y4,USD,Groupe Arthur Welter Transports,Luxembourg
3120500000,2019-12-12,1118003378,KR,40,"-6010,86",Y4,USD,Groupe Arthur Welter Transports,Luxembourg
8127200000,2019-12-12,1118003378,KR,40,"20090,16",Y4,USD,Groupe Soludec,lux
8124200000,2019-02-09,1118000338,KR,40,"-229,7",Y4,USD,Seris Security SARL,Luxembourg
8124200000,2019-06-08,1118001327,KR,40,"379,85",Y4,USD,Seris Security SARL,Luxembourg
8124200000,2019-10-17,1118002818,KR,40,"233,59",Y3,USD,Seris Security SARL,Luxembourg
8124200000,2018-12-11,1118000902,KR,40,"-2942,21",Y4,USD,Seris Security SARL,Luxembourg
8124200000,2019-06-24,1118001485,KR,40,"88,99",Y4,USD,Seris Security SARL,Luxembourg
1930300000,2019-12-12,1118003284,KR,40,"-115,02",Y4,USD,SES,Luxembourg
8127320000,2019-03-07,1118000681,KR,40,"-230,04",Y3,USD,Northern Trust Global Services SE,Luxembourg
8127320000,2019-07-15,1118001552,KR,40,"-97,98",Y3,USD,Northern Trust Global Services SE,Luxembourg
9300100002,2019-08-16,1118002069,KR,70,"-8852,82",Y3,USD,Jost Group SA,Luxembourg
8127320000,2019-09-11,1118002298,KR,40,"-629,06",Y3,USD,Northern Trust Global Services SE,Luxembourg
8125200000,2019-10-22,1118002868,KR,40,"-269,23",Y3,USD,Lombard International Assurance SA,Luxembourg
8127320000,2019-11-07,1118002991,KR,40,"-423,44",Y3,USD,Northern Trust Global Services SE,Luxembourg
8127320000,2019-12-16,1118003191,KR,40,"-266,96",Y3,USD,Northern Trust Global Services SE,Luxembourg
8126100000,2019-02-27,1118000394,KR,40,"-3740,28",Y5,USD,Dekabank Deutsche Girozentrale Luxembourg SA,Luxembourg
